No.,Question,Image,Image_1,Options,Answer,Topic,Level,Paper,Difficulty,Objective,Unique identifier
29,To what is a depreciation of a currency’s exchange rate most likely to lead?,9708_m26_qp_12_29.png,,"A a decrease in inflationary pressures
B a decrease in the relative price of imports
C an increase in cyclical unemployment
D an increase in real GDP",D,Topic 6: International economic issues,AS,9708_m26_qp_12,Medium,Understanding,9708_m26_qp_12_29
30,A country does not trade in services. The table shows selected balances from this country’s current account of the balance of payments. What was the balance on the current account of the balance of payments?,9708_m26_qp_12_30.png,,"A +$2 billion
B -$2 billion
C -$5 billion
D -$9 billion",B,Topic 6: International economic issues,AS,9708_m26_qp_12,Difficult,Application,9708_m26_qp_12_30
1,What is 'a produced means of further production'?,9708_s23_qp_11_1.png,,"A capital
B enterprise
C labour
D land",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_s23_qp_11,Easy,Recall,9708_s23_qp_11_1
2,A hospital management board decides to reallocate $800 000 from its $1.2m new buildings budget to spend on cancer care. What is the opportunity cost of this decision?,9708_s23_qp_11_2.png,,"A a cost of $400 000
B a cost of $800 000
C the cost of healthcare for cancer patients
D the loss of some new buildings",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_s23_qp_11,Easy,Application,9708_s23_qp_11_2
3,The diagram shows the change in a country's production possibility curve from XX to YY. What would explain this change?,9708_s23_qp_11_3.png,,"A Consumers chose to consume more food and less drink.
B Government taxed food production and subsidised drink production.
C Productivity rose in food production and fell in drink production.
D There were more imports of food and more exports of drink.",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_s23_qp_11,Medium,Analysis,9708_s23_qp_11_3
4,A factory manufactures chairs. The manufacturing process is divided into a number of tasks. What is a likely disadvantage of this division of labour?,9708_s23_qp_11_4.png,,"A decrease in motivation
B decrease in output
C decrease in productivity
D decrease in quality of the final product",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_s23_qp_11,Easy,Understanding,9708_s23_qp_11_4
5,Which row correctly describes the relationship between two goods implied by the value of the cross elasticity of demand?,9708_s23_qp_11_5.png,,"A
B
C
D",C,Topic 2: The price system and the microeconomy,AS,9708_s23_qp_11,Medium,Understanding,9708_s23_qp_11_5
6,What does consumer surplus measure?,9708_s23_qp_11_6.png,,"A the excess profit earned by the producer of a good
B the opportunity cost to the consumer of not buying a good
C the price the marginal consumer is willing to pay for a good
D the consumer's gain from purchasing a good at a price below what they are willing to pay",D,Topic 2: The price system and the microeconomy,AS,9708_s23_qp_11,Easy,Recall,9708_s23_qp_11_6
7,"When the price of good X is $2.00, the quantity supplied is 100 000. The price elasticity of supply of good X is 0.8 in the short run and 1.4 in the long run. The price of good X increases to $2.20. What is the increase in the quantity supplied of good X between the short run and the long run?",9708_s23_qp_11_7.png,,"A 6000
B 60000
C 114000
D 140000",A,Topic 2: The price system and the microeconomy,AS,9708_s23_qp_11,Difficult,Application,9708_s23_qp_11_7
8,The diagram shows the European market for diesel fuel and the original equilibrium is at M. Europeans want low-emission cars and therefore the demand for diesel fuel has decreased from D1 to D2. Which area represents the new producer surplus for companies supplying diesel fuel?,9708_s23_qp_11_8.png,,"A GMNΗ 
B JGM 
C JHN 
D JNR",C,Topic 2: The price system and the microeconomy,AS,9708_s23_qp_11,Difficult,Analysis,9708_s23_qp_11_8
9,In which situation is the demand for a product said to be price elastic?,9708_s23_qp_11_9.png,,"A The quantity demanded responds to a change in price. 
B An increase in price brings about a decrease in the quantity demanded. 
C An increase in price induces consumers to spend more on the product.
D A decrease in price brings about an increase in revenue.",D,Topic 2: The price system and the microeconomy,AS,9708_s23_qp_11,Easy,Recall,9708_s23_qp_11_9
10,"Golf club membership fees in Singapore have risen as a result of restrictions on travel to cheaper golf courses in neighbouring countries and the closure of some local courses. The supply of golf club memberships is determined by the current number of courses. If the original equilibrium was at X, which point shows the result of these changes?",9708_s23_qp_11_10.png,,"A 
B 
C 
D ",B,Topic 2: The price system and the microeconomy,AS,9708_s23_qp_11,Medium,Analysis,9708_s23_qp_11_10
11,"The diagram shows the demand and supply curves for solar energy in India. The initial equilibrium point is at X. The Indian government increases the subsidy to solar energy producers. At the same time, there is a rise in the price of alternative sources of energy. What is the new equilibrium position?",9708_s23_qp_11_11.png,,"A 
B 
C  
D ",B,Topic 3: Government microeconomic intervention,AS,9708_s23_qp_11,Medium,Analysis,9708_s23_qp_11_11
12,"A specific tax is placed on the sale of bottles of lemonade. In the diagram, S is the supply curve before imposition of the tax and St is the supply curve after tax. Which distance represents the specific tax on each bottle? ",9708_s23_qp_11_12.png,,"A UT 
B WT 
C WU 
D WX",B,Topic 3: Government microeconomic intervention,AS,9708_s23_qp_11,Easy,Application,9708_s23_qp_11_12
13,Demand for medical face masks exceeds supply during a disease outbreak. What is the most likely cause of this excess demand?,9708_s23_qp_11_13.png,,"A Some consumers do not have effective demand.
B The demand for medical face masks is price inelastic in the short run.
C The price of medical face masks is fixed below the equilibrium price.
D The supply of medical face masks is inelastic in the short run.",C,Topic 3: Government microeconomic intervention,AS,9708_s23_qp_11,Easy,Understanding,9708_s23_qp_11_13
14,The diagram shows the demand and supply curves for a good. The government fixes a maximum price of OP1. What would happen? ,9708_s23_qp_11_14.png,,"A Consumers would have to be rationed to quantity OQ1.
B The government would have to introduce a subsidy of PP1.
C The market equilibrium quantity OQ would be demanded and supplied.
D The supply of quantity OQ2 would be guaranteed.",C,Topic 3: Government microeconomic intervention,AS,9708_s23_qp_11,Difficult,Evaluation,9708_s23_qp_11_14
15,Which statement correctly describes absolute advantage?,9708_s23_qp_11_15.png,,"A It is when a country has a higher opportunity cost in producing a good than another country.
B It is when a country has a lower wage cost in producing a good than another country.
C It is when the relative prices of exports of a country are greater than the relative prices of its imports.
D It is when a country’s output of a good is greater per unit of resource than another country.",D,Topic 4: The macroeconomy,AS,9708_s23_qp_11,Medium,Evaluation,9708_s23_qp_11_15
16,The table shows the income and wealth of Yasmin. What is the value of Yasmin’s wealth? ,9708_s23_qp_11_16.png,,"A $41 000 
B $43 000 
C $44 000 
D $45 000 ",B,Topic 4: The macroeconomy,AS,9708_s23_qp_11,Easy,Recall,9708_s23_qp_11_16
17,Which group is most likely to suffer during high inflation? ,9708_s23_qp_11_17.png,,"A borrowers
B importers
C producers
D fixed wage earners",D,Topic 4: The macroeconomy,AS,9708_s23_qp_11,Medium,Analysis,9708_s23_qp_11_17
18,Which statement explains why the aggregate demand curve is downward sloping?,9708_s23_qp_11_18.png,,"A As prices fall, the demand for exports becomes more elastic.
B As prices fall, fewer goods are imported.
C As prices fall, the rate of interest will rise.
D As prices fall, real wealth rises and so spending increases.",D,Topic 4: The macroeconomy,AS,9708_s23_qp_11,Easy,Recall,9708_s23_qp_11_18
19,The diagram shows the aggregate demand (AD) and aggregate supply (AS) for an economy. Which changes in subsidies and indirect taxes would have caused the change from AS1 to AS2? ,9708_s23_qp_11_19.png,,"A higher subsidies and higher indirect taxes
B higher subsidies and lower indirect taxes
C lower subsidies and higher indirect taxes
D lower subsidies and lower indirect taxes",C,Topic 4: The macroeconomy,AS,9708_s23_qp_11,Medium,Analysis,9708_s23_qp_11_19
20,"The graph gives the percentage unemployed for all people aged 16 and over, and for young people aged 16–24. What is the consequence for consumer expenditure on products consumed by the 16–24 age group over the period 2010–2020? ",9708_s23_qp_11_20.png,,"A a fall in consumer expenditure across the whole period
B an initial fall in consumer expenditure followed by a rise
C an initial rise in consumer expenditure followed by a fall
D a rise in consumer expenditure across the whole period",C,Topic 4: The macroeconomy,AS,9708_s23_qp_11,Difficult,Evaluation,9708_s23_qp_11_20
21,"In the diagram, the intersection of AD and LRAS at point X represents the current macroeconomic equilibrium. Which point could represent the new equilibrium after the introduction of an increase in the retirement age?",9708_s23_qp_11_21.png,,"A
B
C
D",C,Topic 5: Government macroeconomic intervention,AS,9708_s23_qp_11,Difficult,Analysis,9708_s23_qp_11_21
22,The table shows data on the Japanese balance of trade in goods. What can be concluded from this data?,9708_s23_qp_11_22.png,,"A The demand for Japanese exports was price inelastic.
B The Japanese current account was in surplus.
C The majority of Japanese imports were essential goods.
D The Marshall–Lerner condition for Japan is greater than 1.",N/A,Topic 5: Government macroeconomic intervention,AS,9708_s23_qp_11,Medium,Understanding,9708_s23_qp_11_22
23,"The diagram shows production possibility curves for two countries, India and Japan. Which combination of outputs would be achieved if each country specialised in the product in which it has a comparative advantage? ",9708_s23_qp_11_23.png,9708_s23_qp_11_23_1,"A
B
C
D",A,Topic 5: Government macroeconomic intervention,AS,9708_s23_qp_11,Difficult,Application,9708_s23_qp_11_23
24,A country’s currency has depreciated against all the currencies of its main trading partners. How will the depreciation affect its terms of trade?,9708_s23_qp_11_24.png,,"A The terms of trade will improve.
B The terms of trade will not change.
C The terms of trade will worsen.
D The terms of trade will worsen only if the depreciation causes inflation.",C,Topic 5: Government macroeconomic intervention,AS,9708_s23_qp_11,Easy,Recall,9708_s23_qp_11_24
